date,location,new_cases,new_deaths,total_cases,total_deaths
2020-03-04,Argentina,,,1,
2020-03-05,Argentina,0,,1,
2020-03-06,Argentina,0,,1,
2020-03-07,Argentina,1,,2,
2020-03-08,Argentina,7,,9,1
2020-03-09,Argentina,3,0,12,1
2020-03-10,Argentina,0,0,12,1
2020-03-11,Argentina,5,0,17,1
2020-03-12,Argentina,2,0,19,1
2020-03-13,Argentina,12,0,31,1
2020-03-14,Argentina,3,1,34,2
2020-03-15,Argentina,11,0,45,2
2020-03-16,Argentina,11,0,56,2
2020-02-05,Belgium,,,1,
2020-02-06,Belgium,0,,1,
2020-02-07,Belgium,0,,1,
2020-02-08,Belgium,0,,1,
2020-02-09,Belgium,0,,1,
2020-02-10,Belgium,0,,1,
2020-02-11,Belgium,0,,1,
2020-02-12,Belgium,0,,1,
2020-02-13,Belgium,0,,1,
2020-02-14,Belgium,0,,1,
2020-02-15,Belgium,0,,1,
2020-02-16,Belgium,0,,1,
2020-02-17,Belgium,0,,1,
2020-02-18,Belgium,0,,1,
2020-02-19,Belgium,0,,1,
2020-02-20,Belgium,0,,1,
2020-02-21,Belgium,0,,1,
2020-02-22,Belgium,0,,1,
2020-02-23,Belgium,0,,1,
2020-02-24,Belgium,0,,1,
2020-02-25,Belgium,0,,1,
2020-02-26,Belgium,0,,1,
2020-02-27,Belgium,0,,1,
2020-02-28,Belgium,0,,1,
2020-02-29,Belgium,0,,1,
2020-03-01,Belgium,0,,1,
2020-03-02,Belgium,0,,1,
2020-03-03,Belgium,7,,8,
2020-03-04,Belgium,0,,8,
2020-03-05,Belgium,15,,23,
2020-03-06,Belgium,27,,50,
2020-03-07,Belgium,59,,109,
2020-03-08,Belgium,60,,169,
2020-03-09,Belgium,31,,200,
2020-03-10,Belgium,39,,239,
2020-03-11,Belgium,28,,267,
2020-03-12,Belgium,47,,314,
2020-03-13,Belgium,0,,314,
2020-03-14,Belgium,285,,599,
2020-03-15,Belgium,90,,689,
2020-03-16,Belgium,396,,1085,5
2020-02-27,Brazil,,,1,
2020-02-28,Brazil,0,,1,
2020-02-29,Brazil,0,,1,
2020-03-01,Brazil,1,,2,
2020-03-02,Brazil,0,,2,
2020-03-03,Brazil,0,,2,
2020-03-04,Brazil,0,,2,
2020-03-05,Brazil,1,,3,
2020-03-06,Brazil,4,,7,
2020-03-07,Brazil,6,,13,
2020-03-08,Brazil,6,,19,
2020-03-09,Brazil,6,,25,
2020-03-10,Brazil,0,,25,
2020-03-11,Brazil,9,,34,
2020-03-12,Brazil,18,,52,
2020-03-13,Brazil,25,,77,
2020-03-14,Brazil,21,,98,
2020-03-15,Brazil,23,,121,
2020-03-16,Brazil,79,,200,
2020-01-21,China,,,278,6
2020-01-22,China,32,0,310,6
2020-01-23,China,264,11,574,17
2020-01-24,China,261,8,835,25
2020-01-25,China,462,16,1297,41
2020-01-26,China,688,15,1985,56
2020-01-27,China,776,24,2761,80
2020-01-28,China,1776,26,4537,106
2020-01-29,China,1460,26,5997,132
2020-01-30,China,1739,38,7736,170
2020-01-31,China,1984,43,9720,213
2020-02-01,China,2101,46,11821,259
2020-02-02,China,2590,45,14411,304
2020-02-03,China,2827,57,17238,361
2020-02-04,China,3233,64,20471,425
2020-02-05,China,3892,66,24363,491
2020-02-06,China,3697,73,28060,564
2020-02-07,China,3151,73,31211,637
2020-02-08,China,3387,86,34598,723
2020-02-09,China,2653,89,37251,812
2020-02-10,China,2984,97,40235,909
2020-02-11,China,2473,108,42708,1017
2020-02-12,China,2022,97,44730,1114
2020-02-13,China,1820,254,46550,1368
2020-02-14,China,1998,13,48548,1381
2020-02-15,China,1506,143,50054,1524
2020-02-16,China,1120,142,51174,1666
2020-02-17,China,19461,106,70635,1772
2020-02-18,China,1893,98,72528,1870
2020-02-19,China,1752,136,74280,2006
2020-02-20,China,395,115,74675,2121
2020-02-21,China,894,118,75569,2239
2020-02-22,China,823,109,76392,2348
2020-02-23,China,650,97,77042,2445
2020-02-24,China,220,150,77262,2595
2020-02-25,China,518,71,77780,2666
2020-02-26,China,411,52,78191,2718
2020-02-27,China,439,29,78630,2747
2020-02-28,China,331,44,78961,2791
2020-02-29,China,433,47,79394,2838
2020-03-01,China,574,35,79968,2873
2020-03-02,China,206,42,80174,2915
2020-03-03,China,130,31,80304,2946
2020-03-04,China,118,38,80422,2984
2020-03-05,China,143,31,80565,3015
2020-03-06,China,146,30,80711,3045
2020-03-07,China,102,28,80813,3073
2020-03-08,China,46,27,80859,3100
2020-03-09,China,45,23,80904,3123
2020-03-10,China,20,17,80924,3140
2020-03-11,China,31,22,80955,3162
2020-03-12,China,26,11,80981,3173
2020-03-13,China,10,7,80991,3180
2020-03-14,China,30,14,81021,3194
2020-03-15,China,27,10,81048,3204
2020-03-16,China,29,14,81077,3218
2020-02-27,Denmark,,,1,
2020-02-28,Denmark,0,,1,
2020-02-29,Denmark,1,,2,
2020-03-01,Denmark,1,,3,
2020-03-02,Denmark,1,,4,
2020-03-03,Denmark,1,,5,
2020-03-04,Denmark,3,,8,
2020-03-05,Denmark,2,,10,
2020-03-06,Denmark,8,,18,
2020-03-07,Denmark,5,,23,
2020-03-08,Denmark,8,,31,
2020-03-09,Denmark,5,,36,
2020-03-10,Denmark,54,,90,
2020-03-11,Denmark,172,,262,
2020-03-12,Denmark,353,,615,
2020-03-13,Denmark,59,,674,
2020-03-14,Denmark,127,,801,
2020-03-15,Denmark,26,,827,
2020-03-16,Denmark,71,,898,1
2020-01-30,Finland,,,1,
2020-01-31,Finland,0,,1,
2020-02-01,Finland,0,,1,
2020-02-02,Finland,0,,1,
2020-02-03,Finland,0,,1,
2020-02-04,Finland,0,,1,
2020-02-05,Finland,0,,1,
2020-02-06,Finland,0,,1,
2020-02-07,Finland,0,,1,
2020-02-08,Finland,0,,1,
2020-02-09,Finland,0,,1,
2020-02-10,Finland,0,,1,
2020-02-11,Finland,0,,1,
2020-02-12,Finland,0,,1,
2020-02-13,Finland,0,,1,
2020-02-14,Finland,0,,1,
2020-02-15,Finland,0,,1,
2020-02-16,Finland,0,,1,
2020-02-17,Finland,0,,1,
2020-02-18,Finland,0,,1,
2020-02-19,Finland,0,,1,
2020-02-20,Finland,0,,1,
2020-02-21,Finland,0,,1,
2020-02-22,Finland,0,,1,
2020-02-23,Finland,0,,1,
2020-02-24,Finland,0,,1,
2020-02-25,Finland,0,,1,
2020-02-26,Finland,0,,1,
2020-02-27,Finland,1,,2,
2020-02-28,Finland,0,,2,
2020-02-29,Finland,0,,2,
2020-03-01,Finland,0,,2,
2020-03-02,Finland,4,,6,
2020-03-03,Finland,1,,7,
2020-03-04,Finland,0,,7,
2020-03-05,Finland,0,,7,
2020-03-06,Finland,5,,12,
2020-03-07,Finland,7,,19,
2020-03-08,Finland,0,,19,
2020-03-09,Finland,11,,30,
2020-03-10,Finland,10,,40,
2020-03-11,Finland,0,,40,
2020-03-12,Finland,0,,40,
2020-03-13,Finland,69,,109,
2020-03-14,Finland,0,,109,
2020-03-15,Finland,101,,210,
2020-03-16,Finland,57,,267,
2020-01-25,France,,,3,
2020-01-26,France,0,,3,
2020-01-27,France,0,,3,
2020-01-28,France,0,,3,
2020-01-29,France,1,,4,
2020-01-30,France,1,,5,
2020-01-31,France,1,,6,
2020-02-01,France,0,,6,
2020-02-02,France,0,,6,
2020-02-03,France,0,,6,
2020-02-04,France,0,,6,
2020-02-05,France,0,,6,
2020-02-06,France,0,,6,
2020-02-07,France,0,,6,
2020-02-08,France,0,,6,
2020-02-09,France,5,,11,
2020-02-10,France,0,,11,
2020-02-11,France,0,,11,
2020-02-12,France,0,,11,
2020-02-13,France,0,,11,
2020-02-14,France,0,,11,
2020-02-15,France,0,,11,
2020-02-16,France,1,,12,1
2020-02-17,France,0,0,12,1
2020-02-18,France,0,0,12,1
2020-02-19,France,0,0,12,1
2020-02-20,France,0,0,12,1
2020-02-21,France,0,0,12,1
2020-02-22,France,0,0,12,1
2020-02-23,France,0,0,12,1
2020-02-24,France,0,0,12,1
2020-02-25,France,0,0,12,1
2020-02-26,France,0,0,12,1
2020-02-27,France,6,1,18,2
2020-02-28,France,20,0,38,2
2020-02-29,France,19,0,57,2
2020-03-01,France,43,0,100,2
2020-03-02,France,0,0,100,2
2020-03-03,France,91,1,191,3
2020-03-04,France,21,1,212,4
2020-03-05,France,70,0,282,4
2020-03-06,France,138,2,420,6
2020-03-07,France,193,3,613,9
2020-03-08,France,93,1,706,10
2020-03-09,France,410,9,1116,19
2020-03-10,France,286,11,1402,30
2020-03-11,France,372,3,1774,33
2020-03-12,France,495,15,2269,48
2020-03-13,France,591,13,2860,61
2020-03-14,France,780,18,3640,79
2020-03-15,France,829,12,4469,91
2020-03-16,France,911,36,5380,127
2020-01-28,Germany,,,1,
2020-01-29,Germany,3,,4,
2020-01-30,Germany,0,,4,
2020-01-31,Germany,1,,5,
2020-02-01,Germany,2,,7,
2020-02-02,Germany,1,,8,
2020-02-03,Germany,2,,10,
2020-02-04,Germany,2,,12,
2020-02-05,Germany,0,,12,
2020-02-06,Germany,0,,12,
2020-02-07,Germany,1,,13,
2020-02-08,Germany,1,,14,
2020-02-09,Germany,0,,14,
2020-02-10,Germany,0,,14,
2020-02-11,Germany,0,,14,
2020-02-12,Germany,2,,16,
2020-02-13,Germany,0,,16,
2020-02-14,Germany,0,,16,
2020-02-15,Germany,0,,16,
2020-02-16,Germany,0,,16,
2020-02-17,Germany,0,,16,
2020-02-18,Germany,0,,16,
2020-02-19,Germany,0,,16,
2020-02-20,Germany,0,,16,
2020-02-21,Germany,0,,16,
2020-02-22,Germany,0,,16,
2020-02-23,Germany,0,,16,
2020-02-24,Germany,0,,16,
2020-02-25,Germany,0,,16,
2020-02-26,Germany,2,,18,
2020-02-27,Germany,3,,21,
2020-02-28,Germany,5,,26,
2020-02-29,Germany,31,,57,
2020-03-01,Germany,0,,57,
2020-03-02,Germany,72,,129,
2020-03-03,Germany,28,,157,
2020-03-04,Germany,39,,196,
2020-03-05,Germany,66,,262,
2020-03-06,Germany,272,,534,
2020-03-07,Germany,105,,639,
2020-03-08,Germany,156,,795,
2020-03-09,Germany,317,,1112,
2020-03-10,Germany,27,,1139,2
2020-03-11,Germany,157,0,1296,2
2020-03-12,Germany,271,1,1567,3
2020-03-13,Germany,802,3,2369,6
2020-03-14,Germany,693,0,3062,6
2020-03-15,Germany,733,2,3795,8
2020-03-16,Germany,1043,4,4838,12
2020-01-30,India,,,1,
2020-01-31,India,0,,1,
2020-02-01,India,0,,1,
2020-02-02,India,1,,2,
2020-02-03,India,1,,3,
2020-02-04,India,0,,3,
2020-02-05,India,0,,3,
2020-02-06,India,0,,3,
2020-02-07,India,0,,3,
2020-02-08,India,0,,3,
2020-02-09,India,0,,3,
2020-02-10,India,0,,3,
2020-02-11,India,0,,3,
2020-02-12,India,0,,3,
2020-02-13,India,0,,3,
2020-02-14,India,0,,3,
2020-02-15,India,0,,3,
2020-02-16,India,0,,3,
2020-02-17,India,0,,3,
2020-02-18,India,0,,3,
2020-02-19,India,0,,3,
2020-02-20,India,0,,3,
2020-02-21,India,0,,3,
2020-02-22,India,0,,3,
2020-02-23,India,0,,3,
2020-02-24,India,0,,3,
2020-02-25,India,0,,3,
2020-02-26,India,0,,3,
2020-02-27,India,0,,3,
2020-02-28,India,0,,3,
2020-02-29,India,0,,3,
2020-03-01,India,0,,3,
2020-03-02,India,0,,3,
2020-03-03,India,2,,5,
2020-03-04,India,1,,6,
2020-03-05,India,23,,29,
2020-03-06,India,1,,30,
2020-03-07,India,1,,31,
2020-03-08,India,3,,34,
2020-03-09,India,9,,43,
2020-03-10,India,1,,44,
2020-03-11,India,16,,60,
2020-03-12,India,13,,73,
2020-03-13,India,1,,74,1
2020-03-14,India,8,1,82,2
2020-03-15,India,25,0,107,2
2020-03-16,India,7,0,114,2
2020-03-02,Indonesia,,,2,
2020-03-03,Indonesia,0,,2,
2020-03-04,Indonesia,0,,2,
2020-03-05,Indonesia,0,,2,
2020-03-06,Indonesia,0,,2,
2020-03-07,Indonesia,0,,2,
2020-03-08,Indonesia,4,,6,
2020-03-09,Indonesia,0,,6,
2020-03-10,Indonesia,13,,19,
2020-03-11,Indonesia,8,,27,1
2020-03-12,Indonesia,7,0,34,1
2020-03-13,Indonesia,0,0,34,1
2020-03-14,Indonesia,35,2,69,3
2020-03-15,Indonesia,48,1,117,4
2020-03-16,Indonesia,0,0,117,4
2020-02-06,International,,,20,
2020-02-07,International,41,,61,
2020-02-08,International,3,,64,
2020-02-09,International,0,,64,
2020-02-10,International,6,,70,
2020-02-11,International,65,,135,
2020-02-12,International,40,,175,
2020-02-13,International,-1,,174,
2020-02-14,International,44,,218,
2020-02-15,International,0,,218,
2020-02-16,International,137,,355,
2020-02-17,International,99,,454,
2020-02-18,International,0,,454,
2020-02-19,International,88,,542,
2020-02-20,International,79,,621,2
2020-02-21,International,13,0,634,2
2020-02-22,International,0,0,634,2
2020-02-23,International,0,1,634,3
2020-02-24,International,61,0,695,3
2020-02-25,International,-4,0,691,3
2020-02-26,International,0,0,691,3
2020-02-27,International,14,1,705,4
2020-02-28,International,0,0,705,4
2020-02-29,International,0,2,705,6
2020-03-01,International,0,0,705,6
2020-03-02,International,1,0,706,6
2020-03-03,International,0,0,706,6
2020-03-04,International,0,0,706,6
2020-03-05,International,0,0,706,6
2020-03-06,International,-10,0,696,6
2020-03-07,International,0,0,696,6
2020-03-08,International,0,1,696,7
2020-03-09,International,0,0,696,7
2020-03-10,International,0,0,696,7
2020-03-11,International,0,0,696,7
2020-03-12,International,0,0,696,7
2020-03-13,International,0,0,696,7
2020-03-14,International,1,0,697,7
2020-03-15,International,0,0,697,7
2020-03-16,International,15,0,712,7
2020-02-20,Iran,,,2,2
2020-02-21,Iran,3,0,5,2
2020-02-22,Iran,13,2,18,4
2020-02-23,Iran,10,1,28,5
2020-02-24,Iran,15,3,43,8
2020-02-25,Iran,18,4,61,12
2020-02-26,Iran,34,3,95,15
2020-02-27,Iran,46,7,141,22
2020-02-28,Iran,104,4,245,26
2020-02-29,Iran,143,8,388,34
2020-03-01,Iran,205,9,593,43
2020-03-02,Iran,385,11,978,54
2020-03-03,Iran,523,12,1501,66
2020-03-04,Iran,835,11,2336,77
2020-03-05,Iran,586,15,2922,92
2020-03-06,Iran,591,15,3513,107
2020-03-07,Iran,1234,17,4747,124
2020-03-08,Iran,1076,21,5823,145
2020-03-09,Iran,743,49,6566,194
2020-03-10,Iran,595,43,7161,237
2020-03-11,Iran,881,54,8042,291
2020-03-12,Iran,958,63,9000,354
2020-03-13,Iran,1075,75,10075,429
2020-03-14,Iran,1289,85,11364,514
2020-03-15,Iran,1365,94,12729,608
2020-03-16,Iran,2262,245,14991,853
2020-01-31,Italy,,,2,
2020-02-01,Italy,0,,2,
2020-02-02,Italy,0,,2,
2020-02-03,Italy,0,,2,
2020-02-04,Italy,0,,2,
2020-02-05,Italy,0,,2,
2020-02-06,Italy,0,,2,
2020-02-07,Italy,1,,3,
2020-02-08,Italy,0,,3,
2020-02-09,Italy,0,,3,
2020-02-10,Italy,0,,3,
2020-02-11,Italy,0,,3,
2020-02-12,Italy,0,,3,
2020-02-13,Italy,0,,3,
2020-02-14,Italy,0,,3,
2020-02-15,Italy,0,,3,
2020-02-16,Italy,0,,3,
2020-02-17,Italy,0,,3,
2020-02-18,Italy,0,,3,
2020-02-19,Italy,0,,3,
2020-02-20,Italy,0,,3,
2020-02-21,Italy,0,,3,
2020-02-22,Italy,6,,9,
2020-02-23,Italy,67,,76,2
2020-02-24,Italy,48,0,124,2
2020-02-25,Italy,105,4,229,6
2020-02-26,Italy,93,5,322,11
2020-02-27,Italy,78,1,400,12
2020-02-28,Italy,250,5,650,17
2020-02-29,Italy,238,4,888,21
2020-03-01,Italy,240,8,1128,29
2020-03-02,Italy,561,6,1689,35
2020-03-03,Italy,347,17,2036,52
2020-03-04,Italy,466,28,2502,80
2020-03-05,Italy,587,27,3089,107
2020-03-06,Italy,769,41,3858,148
2020-03-07,Italy,778,49,4636,197
2020-03-08,Italy,1247,37,5883,234
2020-03-09,Italy,1492,132,7375,366
2020-03-10,Italy,1797,97,9172,463
2020-03-11,Italy,977,168,10149,631
2020-03-12,Italy,2313,196,12462,827
2020-03-13,Italy,2651,189,15113,1016
2020-03-14,Italy,2547,252,17660,1268
2020-03-15,Italy,3497,173,21157,1441
2020-03-16,Italy,3590,368,24747,1809
2020-01-21,Japan,,,1,
2020-01-22,Japan,0,,1,
2020-01-23,Japan,0,,1,
2020-01-24,Japan,0,,1,
2020-01-25,Japan,2,,3,
2020-01-26,Japan,0,,3,
2020-01-27,Japan,1,,4,
2020-01-28,Japan,2,,6,
2020-01-29,Japan,1,,7,
2020-01-30,Japan,4,,11,
2020-01-31,Japan,3,,14,
2020-02-01,Japan,3,,17,
2020-02-02,Japan,3,,20,
2020-02-03,Japan,0,,20,
2020-02-04,Japan,0,,20,
2020-02-05,Japan,3,,23,
2020-02-06,Japan,2,,25,
2020-02-07,Japan,0,,25,
2020-02-08,Japan,0,,25,
2020-02-09,Japan,1,,26,
2020-02-10,Japan,0,,26,
2020-02-11,Japan,0,,26,
2020-02-12,Japan,2,,28,
2020-02-13,Japan,1,,29,
2020-02-14,Japan,4,,33,1
2020-02-15,Japan,8,0,41,1
2020-02-16,Japan,12,0,53,1
2020-02-17,Japan,6,0,59,1
2020-02-18,Japan,6,0,65,1
2020-02-19,Japan,8,0,73,1
2020-02-20,Japan,12,0,85,1
2020-02-21,Japan,8,0,93,1
2020-02-22,Japan,12,0,105,1
2020-02-23,Japan,27,0,132,1
2020-02-24,Japan,12,0,144,1
2020-02-25,Japan,13,0,157,1
2020-02-26,Japan,7,0,164,1
2020-02-27,Japan,22,2,186,3
2020-02-28,Japan,24,1,210,4
2020-02-29,Japan,20,1,230,5
2020-03-01,Japan,9,0,239,5
2020-03-02,Japan,15,1,254,6
2020-03-03,Japan,14,0,268,6
2020-03-04,Japan,16,0,284,6
2020-03-05,Japan,33,0,317,6
2020-03-06,Japan,32,0,349,6
2020-03-07,Japan,59,0,408,6
2020-03-08,Japan,47,0,455,6
2020-03-09,Japan,33,1,488,7
2020-03-10,Japan,26,2,514,9
2020-03-11,Japan,54,3,568,12
2020-03-12,Japan,52,3,620,15
2020-03-13,Japan,55,4,675,19
2020-03-14,Japan,41,2,716,21
2020-03-15,Japan,64,1,780,22
2020-03-16,Japan,34,2,814,24
2020-02-28,Netherlands,,,1,
2020-02-29,Netherlands,1,,2,
2020-03-01,Netherlands,5,,7,
2020-03-02,Netherlands,6,,13,
2020-03-03,Netherlands,5,,18,
2020-03-04,Netherlands,10,,28,
2020-03-05,Netherlands,10,,38,
2020-03-06,Netherlands,44,,82,
2020-03-07,Netherlands,46,,128,1
2020-03-08,Netherlands,60,0,188,1
2020-03-09,Netherlands,77,2,265,3
2020-03-10,Netherlands,56,0,321,3
2020-03-11,Netherlands,61,1,382,4
2020-03-12,Netherlands,121,1,503,5
2020-03-13,Netherlands,111,0,614,5
2020-03-14,Netherlands,190,5,804,10
2020-03-15,Netherlands,155,2,959,12
2020-03-16,Netherlands,176,8,1135,20
2020-02-27,Norway,,,1,
2020-02-28,Norway,3,,4,
2020-02-29,Norway,2,,6,
